,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,,-additional
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
905,MacKenzie Weegar,32,CGY,D,60,1208,1155,51.1,1.1,826,799,50.8,1.4,6.3,86.5,92.8,53.6,46.4,23:07,19:01,19,98,-4.7,313,39.9,weegama01
905,MacKenzie Weegar,32,UTA,D,19,384,318,54.7,2.0,265,233,53.2,1.4,10.8,88.9,99.7,48.2,51.8,20:25,18:02,13,26,-0.1,80,36.3,weegama01
906,Alexander Wennberg,31,SJS,C,80,1071,1159,48.0,1.7,748,831,47.4,1.6,11.1,86.4,97.6,41.1,58.9,20:27,14:57,35,54,-3.1,170,54.7,wennbal01
907,Zach Werenski,28,CBJ,D,75,1901,1655,53.5,4.9,1357,1210,52.9,4.7,10.8,88.9,99.7,55.5,44.5,26:37,22:21,35,125,10.2,590,44.1,werenza01
908,Colton White,28,NJD,D,23,226,248,47.7,-3.8,165,175,48.5,-1.6,8.3,93.1,101.4,50.4,49.6,12:15,12:09,4,21,1.5,32,43.8,whiteco03
909,Zach Whitecloud,29,TOT,D,78,1293,1366,48.6,-0.5,917,989,48.1,-1.7,9.1,90.3,99.5,47.6,52.4,20:19,17:60,15,73,-6.8,191,35.1,whiteza01
909,Zach Whitecloud,29,VEG,D,47,731,723,50.3,-0.2,516,520,49.8,-1.6,9.7,87.2,96.9,55.5,44.5,18:46,16:58,9,35,-1.0,105,31.4,whiteza01
909,Zach Whitecloud,29,CGY,D,31,562,643,46.6,-0.3,401,469,46.1,-1.3,8.4,93.6,101.9,37.6,62.4,22:40,19:32,6,38,-5.8,86,39.5,whiteza01
910,Abram Wiebe,22,CGY,D,4,39,55,41.5,-2.2,28,44,38.9,-6.8,5.3,96.6,101.8,67.6,32.4,12:01,12:01,0,2,-1.7,5,0.0,wiebeab01
911,Ozzy Wiesblatt,23,NSH,RW,40,317,357,47.0,-5.2,216,268,44.6,-5.0,11.1,87.7,98.8,28.1,71.9,10:11,9:31,7,15,-3.6,62,40.3,wiesboz01
912,Tom Willander,20,VAN,D,70,827,1087,43.2,-5.0,595,808,42.4,-5.4,10.9,88.4,99.3,46.2,53.8,16:59,15:19,11,58,-12.3,151,39.1,willato01
913,Adam Wilsby,25,NSH,D,58,879,837,51.2,2.0,625,633,49.7,1.4,9.0,91.0,100.0,43.4,56.6,17:01,15:57,15,47,-3.6,136,43.4,wilsbad01
914,Garrett Wilson,34,PHI,LW,3,13,24,35.1,-9.8,10,18,35.7,-10.4,12.5,91.7,104.2,54.5,45.5,8:41,8:41,1,1,0.0,3,100.0,wilsoga01
915,Tom Wilson,31,WSH,RW,72,1096,948,53.6,5.7,810,651,55.4,7.1,13.3,88.1,101.4,44.6,55.4,19:28,14:30,18,84,7.1,302,50.7,wilsoto01
916,Ryan Winterton,22,SEA,C,68,616,749,45.1,-0.6,458,548,45.5,-0.5,10.4,91.3,101.7,36.5,63.5,11:59,10:59,21,37,-0.8,159,54.7,wintery01
917,Matthew Wood,20,NSH,RW,71,754,750,50.1,0.4,531,584,47.6,-0.9,11.2,88.8,100.0,61.8,38.2,12:19,10:46,10,41,-0.8,192,53.6,woodma01
918,Miles Wood,30,CBJ,LW,54,558,667,45.6,-5.8,390,498,43.9,-7.1,8.4,89.2,97.6,38.7,61.3,11:51,11:05,5,34,-7.0,132,53.8,woodmi01
919,Parker Wotherspoon,28,PIT,D,80,1374,1295,51.5,1.6,989,963,50.7,0.0,11.4,89.8,101.1,49.5,50.5,20:10,17:46,26,118,10.0,159,44.0,wothepa01
920,Jared Wright,23,LAK,RW,23,257,255,50.2,-1.1,190,170,52.8,0.4,6.3,92.1,98.4,27.7,72.3,11:26,11:23,4,7,4.0,54,59.3,wrighja03
921,Shane Wright,22,SEA,C,74,800,929,46.3,2.0,595,649,47.8,3.3,8.7,93.5,102.2,66.9,33.1,13:48,12:11,12,67,3.1,188,51.6,wrighsh01
922,Arber Xhekaj,25,MTL,D,65,586,661,47.0,-1.7,411,456,47.4,-2.3,9.4,89.1,98.5,56.7,43.3,11:25,11:06,2,35,-7.0,125,32.0,xhekaar01
923,Florian Xhekaj,21,MTL,LW,5,29,47,38.2,-3.7,18,31,36.7,-4.7,7.7,89.5,97.2,43.5,56.5,9:36,9:35,0,4,-1.1,8,50.0,xhekafl01
924,Brayden Yager,21,WPG,C,3,21,27,43.8,-0.3,18,20,47.4,5.6,11.1,93.3,104.4,55.6,44.4,10:59,9:10,0,1,-0.3,4,50.0,yagerbr01
925,Carter Yakemchuk,20,OTT,D,4,50,63,44.2,-0.7,37,46,44.6,1.8,11.8,89.3,101.1,80.6,19.4,14:32,12:49,1,7,-1.4,13,38.5,yakemca01
926,Kailer Yamamoto,27,UTA,RW,59,613,562,52.2,-0.9,437,392,52.7,0.3,13.4,89.4,102.8,47.5,52.5,11:48,11:18,17,24,2.8,92,66.3,yamamka01
927,Cameron York,25,PHI,D,74,1089,1262,46.3,-2.6,800,857,48.3,-1.0,12.6,88.0,100.6,45.9,54.1,22:32,18:08,20,67,6.7,198,44.9,yorkca01
928,Danila Yurov,22,MIN,RW,73,775,895,46.4,-2.5,578,634,47.7,-1.8,9.6,90.0,99.7,54.8,45.2,13:18,12:26,16,45,-3.6,171,46.8,yurovda01
929,Pavel Zacha,28,BOS,C,78,970,1042,48.2,-0.7,716,753,48.7,-0.3,14.2,89.0,103.1,45.5,54.5,16:51,13:01,18,61,-9.4,233,56.2,zachapa01
930,Nikita Zadorov,30,BOS,D,81,1391,1516,47.9,-1.1,1006,1105,47.7,-1.8,11.1,92.7,103.8,41.7,58.3,20:53,18:09,33,94,-16.8,263,40.7,zadorni01
931,Egor Zamula,25,TOT,D,33,352,372,48.6,-1.3,245,259,48.6,-2.3,11.4,91.9,103.4,57.2,42.8,13:04,12:37,6,27,-0.7,51,35.3,zamulye01
931,Egor Zamula,25,CBJ,D,20,195,223,46.7,-4.4,136,158,46.3,-5.7,10.3,93.0,103.3,46.8,53.2,12:27,12:06,5,17,-2.2,32,28.1,zamulye01
931,Egor Zamula,25,PHI,D,13,157,149,51.3,3.5,109,101,51.9,2.8,12.7,90.2,102.8,68.6,31.4,14:02,13:24,1,10,1.5,19,47.4,zamulye01
932,Connor Zary,24,CGY,C,74,888,886,50.1,1.0,622,649,48.9,0.1,8.1,90.1,98.2,50.7,49.3,14:22,12:43,14,44,-3.1,195,56.9,zaryco01
933,Trevor Zegras,24,PHI,C,81,1178,1194,49.7,2.7,871,873,49.9,1.9,12.3,88.5,100.8,59.2,40.8,18:43,15:42,25,80,6.0,350,47.7,zegratr01
934,Olen Zellweger,22,ANA,D,76,1329,1160,53.4,1.7,970,840,53.6,1.9,10.0,89.6,99.6,55.8,44.2,16:59,15:20,19,64,-3.3,302,39.4,zellwol01
935,Fabian Zetterlund,26,OTT,W,82,971,872,52.7,0.0,710,617,53.5,0.0,10.0,88.6,98.6,57.1,42.9,12:55,11:42,20,36,8.9,272,48.5,zettefa01
936,Danil Zhilkin,22,WPG,C,6,16,46,25.8,-20.3,13,28,31.7,-14.7,27.3,100.0,127.3,35.3,64.7,7:35,6:47,0,1,-0.4,7,57.1,zhilkda01
937,Mika Zibanejad,32,NYR,C,81,1274,1258,50.3,1.8,920,940,49.5,2.0,10.4,87.5,97.8,54.0,46.0,20:54,15:40,34,112,1.4,416,51.7,zibanmi01
938,Artem Zub,30,OTT,D,81,1293,1274,50.4,-3.7,963,893,51.9,-2.5,11.4,90.6,102.0,36.6,63.4,20:48,17:51,26,78,4.6,223,41.3,zubar01
939,Mats Zuccarello,38,MIN,LW,59,897,883,50.4,3.1,675,635,51.5,3.6,10.0,88.8,98.8,61.3,38.7,18:39,15:01,13,62,4.7,251,48.6,zuccama01
940,Jason Zucker,34,BUF,LW,62,710,738,49.0,-1.1,547,565,49.2,-1.4,11.5,89.0,100.5,52.9,47.1,15:37,12:15,8,65,1.2,227,56.8,zuckeja01
