Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
72,Arturs Silovs,23,VAN,G,10,9,2,6,1,33,238,205,.861,3.65,0,542:31,3,.333,4,138,-9.2,3.87,0.5,0,0,0,2,,silovar01
73,Semyon Varlamov,36,NYI,G,10,10,3,4,3,29,262,233,.889,2.89,0,602:24,5,.500,3,111,-2.8,3.09,1.3,0,0,0,0,,varlasi01
74,Devon Levi,23,BUF,G,9,8,2,7,0,33,258,225,.872,4.12,0,480:38,3,.375,2,128,-7.2,4.37,0.8,0,0,0,0,,levide01
75,Spencer Martin,29,CAR,G,9,7,3,4,1,27,175,148,.846,3.89,1,415:59,1,.143,5,154,-9.5,4.18,0.1,0,0,0,0,,martisp01
76,Georgi Romanov,25,SJS,G,8,6,0,6,0,27,219,192,.877,3.89,0,416:56,3,.500,1,123,-5.1,4.17,0.8,0,0,0,0,,romange01
77,Nico Daws,24,NJD,G,6,4,3,1,0,7,114,107,.939,1.60,1,262:51,3,.750,1,61,4.4,1.60,1.2,0,0,0,0,,dawsni01
78,Dennis Hildeby,23,TOR,G,6,6,3,3,0,20,156,136,.872,3.33,0,360:49,2,.333,3,128,-4.4,3.49,0.5,0,0,0,0,,hildede01
79,Jaxson Stauber,25,UTA,G,6,4,2,1,1,17,158,141,.892,3.26,1,313:11,3,.750,0,107,-1.2,3.45,0.8,0,0,0,0,,staubja01
80,Dustin Tokarski,35,CAR,G,6,6,4,2,0,13,132,119,.902,2.18,1,358:19,3,.500,2,98,0.2,2.34,0.8,0,0,0,0,,tokardu01
81,Akira Schmid,24,VEG,G,5,3,2,0,1,5,90,85,.944,1.26,0,238:06,3,1.000,0,55,4.0,1.26,1.0,0,0,0,0,,schmiak01
82,Drew Commesso,22,CHI,G,2,1,0,1,0,4,26,22,.846,3.36,0,71:21,0,.000,1,154,-1.4,3.36,0.0,0,0,0,0,,commedr01
83,Trent Miner,23,COL,G,2,1,0,1,0,4,33,29,.879,2.62,0,91:38,0,.000,0,121,-0.7,2.62,0.1,0,0,0,0,,minertr01
84,Matt Murray,30,TOR,G,2,2,1,1,0,7,58,51,.879,3.54,0,118:39,0,.000,0,121,-1.2,3.54,0.2,0,0,0,0,,murrama02
85,Olivier Rodrigue,24,EDM,G,2,1,0,1,0,4,29,25,.862,3.10,0,77:25,0,.000,0,138,-1.1,3.10,0.1,0,0,0,0,,rodriol01
86,Jakub Skarek,25,NYI,G,2,1,0,1,0,5,39,34,.872,3.94,0,76:09,0,.000,1,128,-1.1,3.94,0.1,0,0,0,0,,skareja01
87,Mads Søgaard,24,OTT,G,2,1,1,1,0,8,40,32,.800,5.24,0,91:33,0,.000,1,200,-4.0,5.90,-0.2,0,0,0,2,,sogaama01
88,Nikita Tolopilo,24,VAN,G,2,1,1,1,0,3,26,23,.885,2.15,0,83:39,1,1.000,0,115,-0.4,2.15,0.1,0,0,0,0,,tolopni01
89,Jesper Wallstedt,22,MIN,G,2,2,0,2,0,8,51,43,.843,4.09,0,117:26,0,.000,1,157,-2.9,4.60,0.0,0,0,0,2,,wallsje01
90,Pheonix Copley,33,LAK,G,1,0,0,0,0,2,12,10,.833,4.37,0,27:29,0,,0,166,-0.8,4.37,0.0,0,0,0,0,,copleph01
91,Sebastian Cossa,22,DET,G,1,0,1,0,0,2,14,12,.857,2.67,0,45:00,0,,0,143,-0.6,2.67,0.0,0,0,0,0,,cossase01
92,Louis Domingue,32,NYR,G,1,1,1,0,0,2,27,25,.926,2.00,0,60:00,1,1.000,0,74,0.7,2.00,0.2,0,0,0,0,,dominlo01
93,Brandon Halverson,28,TBL,G,1,1,0,1,0,5,24,19,.792,5.18,0,57:57,0,.000,1,208,-2.6,5.18,-0.1,0,0,0,0,,halvebr01
94,Kaapo Kähkönen,28,COL,G,1,1,0,1,0,4,20,16,.800,4.12,0,58:16,0,.000,1,200,-2.0,4.12,-0.1,0,0,0,0,,kahkoka01
95,Niklas Kokko,20,SEA,G,1,0,0,0,0,2,6,4,.667,4.01,0,29:57,0,,0,333,-1.4,4.01,-0.1,0,0,0,0,,kokkoni01
96,Tristan Lennox,22,NYI,G,1,0,0,0,0,1,2,1,.500,12.72,0,4:43,0,,0,499,-0.8,12.72,-0.1,0,0,0,0,,lennotr01
97,Victor Ostman,24,SEA,G,1,0,0,0,0,0,12,12,1.000,.00,0,20:00,0,,0,0,1.2,.00,0.2,0,0,0,0,,ostmavi01
98,Yaniv Perets,24,CAR,G,1,0,0,0,0,1,7,6,.857,7.32,0,8:12,0,,0,143,-0.3,7.32,0.0,0,0,0,0,,peretya01
99,Erik Portillo,24,LAK,G,1,1,1,0,0,1,29,28,.966,1.02,0,58:37,1,1.000,0,34,1.9,1.02,0.4,0,0,0,0,,portier01
100,Hunter Shepard,29,WSH,G,1,1,0,1,0,7,26,19,.731,7.00,0,60:00,0,.000,1,269,-4.4,7.00,-0.3,0,0,0,0,,shepahu01
101,Clay Stevenson,25,WSH,G,1,1,0,1,0,5,38,33,.868,5.00,0,60:00,0,.000,0,131,-1.2,5.00,0.1,0,0,0,0,,stevecl01
102,Ales Stezka,28,SEA,G,1,1,0,1,0,3,23,20,.870,3.09,0,58:20,0,.000,0,130,-0.7,3.09,0.1,0,0,0,0,,stezkal01
103,Matt Villalta,25,UTA,G,1,1,1,0,0,3,31,28,.903,3.00,0,60:00,1,1.000,0,97,0.1,3.00,0.2,0,0,0,0,,villama01
,League Average,,,,,,,,,,,,.900,2.81,,,,.548,,,,3.00,,,,,,,-9999
