Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
45,Corey Crawford,33,CHI,G,28,27,16,9,2,60,842,782,.929,2.27,2,1583:30,17,.630,3,81,13.9,2.46,6.2,0,0,0,0,,crawfco01
46,Ryan Miller,37,ANA,G,28,21,12,6,6,53,739,686,.928,2.35,4,1353:16,13,.619,3,82,11.9,2.53,5.4,0,0,0,0,,millery01
47,Alex Stalock,30,MIN,G,28,23,10,10,4,71,787,716,.910,2.85,1,1495:16,13,.565,3,103,-1.9,3.09,4.2,0,0,0,0,,staloal01
48,Thomas Greiss,32,NYI,G,27,25,13,8,2,95,879,784,.892,3.82,1,1491:45,9,.360,7,123,-17.9,4.14,3.0,0,0,0,0,,greisth01
49,Anders Nilsson,27,VAN,G,27,24,7,14,4,84,850,766,.901,3.44,2,1463:41,8,.333,5,113,-9.4,3.73,3.7,0,1,1,0,,nilssan01
50,Tristan Jarry,22,PIT,G,26,23,14,6,2,63,687,624,.908,2.77,2,1363:56,14,.609,4,104,-2.7,2.99,3.5,0,2,2,4,,jarrytr01
51,Juuse Saros,22,NSH,G,26,23,11,5,7,61,810,749,.925,2.45,3,1496:40,14,.609,2,86,10.1,2.65,5.6,0,3,3,0,AR-1,sarosju01
52,Antti Niemi,34,3TM,G,24,20,7,9,4,63,710,647,.911,3.12,1,1213:06,12,.600,4,101,-0.7,3.31,3.9,0,1,1,0,,niemian02
52,Antti Niemi,34,PIT,G,3,3,0,3,0,16,79,63,.797,7.49,0,128:08,0,.000,2,231,-9.1,7.96,-0.5,0,1,1,0,,niemian02
52,Antti Niemi,34,FLA,G,2,0,0,1,0,5,39,34,.872,5.11,0,58:42,0,,0,146,-1.6,5.11,0.0,0,0,0,0,,niemian02
52,Antti Niemi,34,MTL,G,19,17,7,5,4,42,592,550,.929,2.46,1,1026:16,12,.706,2,81,10.0,2.63,4.4,0,0,0,0,,niemian02
53,Michal Neuvirth,29,PHI,G,22,18,9,7,3,45,530,485,.915,2.60,1,1038:43,10,.556,5,97,1.5,2.83,3.1,0,1,1,0,,neuvimi01
54,Malcolm Subban,24,VEG,G,22,19,13,4,2,55,614,559,.910,2.68,0,1230:11,8,.421,2,102,-1.1,2.88,3.3,0,0,0,2,,subbama01
55,David Rittich,25,CGY,G,21,16,8,6,3,49,512,463,.904,2.92,0,1008:14,10,.625,3,109,-4.1,3.15,2.4,0,0,0,14,,rittida01
56,Scott Wedgewood,25,ARI,G,20,17,5,9,4,63,587,524,.893,3.45,1,1096:30,7,.412,4,122,-11.5,3.72,2.0,0,0,0,2,,wedgesc01
57,Ondřej Pavelec,30,NYR,G,19,12,4,9,1,46,510,464,.910,3.05,1,903:42,5,.417,3,103,-1.2,3.32,2.7,0,0,0,2,,pavelon01
58,Louis Domingue,25,2TM,G,19,16,7,9,1,61,578,517,.894,3.41,0,1073:46,6,.375,3,120,-10.3,3.69,2.1,0,0,0,2,,dominlo01
58,Louis Domingue,25,ARI,G,7,5,0,6,0,28,194,166,.856,4.33,0,387:45,0,.000,3,164,-11.0,4.64,-0.1,0,0,0,0,,dominlo01
58,Louis Domingue,25,TBL,G,12,11,7,3,1,33,384,351,.914,2.89,0,686:01,6,.545,0,98,0.7,3.15,2.2,0,0,0,2,,dominlo01
59,Joonas Korpisalo,23,CBJ,G,18,17,8,8,1,58,564,506,.897,3.32,0,1048:49,7,.412,3,117,-8.5,3.60,2.2,0,0,0,0,,korpijo01
60,Curtis McElhinney,34,TOR,G,18,15,11,5,1,35,528,493,.934,2.14,3,979:07,8,.533,1,76,11.3,2.33,4.2,0,1,1,0,,mcelhcu01
61,Maxime Lagace,25,VEG,G,16,14,6,7,1,57,430,373,.867,3.92,0,873:31,5,.357,3,151,-19.3,4.26,0.3,0,0,0,0,,lagacma01
62,Jeff Glass,32,CHI,G,15,13,3,7,3,46,452,406,.898,3.36,0,820:54,5,.385,2,116,-6.3,3.65,1.8,0,0,0,2,,glassje01
63,Laurent Brossoit,24,EDM,G,14,10,3,7,1,40,343,303,.883,3.24,0,740:14,5,.500,2,133,-9.9,3.49,0.8,0,1,1,0,,brossla01
64,Casey DeSmith,26,PIT,G,14,11,6,4,1,28,356,328,.921,2.40,1,700:09,7,.636,1,90,3.2,2.57,2.3,0,0,0,2,,desmica01
65,Charlie Lindgren,24,MTL,G,14,14,4,8,2,42,457,415,.908,3.03,2,832:58,9,.643,5,105,-1.9,3.24,2.3,0,0,0,2,,lindgch01
